#1|lemma	meta|date	meta|lang_area	count
Wännlein	1603	md	1
Gewerblein	1662	obd	1
Träctätlein	1719	NA	1
Würzlein	1532	md	1
Zinklein	1557	md	1
Zinklein	1588	NA	1
Großnäglein	1735	NA	1
Neglein	1673	NA	1
äusländischen	1588	NA	1
Sternlein	1557	md	1
Tüpfelein	1609	obd	1
Mägdelein	1588	obd	1
Zäpflein	1539	md	1
Zäpflein	1563	md	1
Endblättchen	1870	NA	1
Leberäderlein	1532	md	1
Blatthäutchen	1821	NA	1
Podagrämischen	1609	md	1
Zuckerküchlein	1673	NA	1
Messerspitzlein	1696	NA	1
Waldglöcklein	1828	NA	1
Schönchen	1870	NA	1
Würzelein	1532	md	1
Würzelein	1609	md	1
Säckchen	1874	NA	1
Gertlein	1550	NA	1
Gertlein	1543	md	1
Gertlein	1563	md	1
Blättchen	1675	NA	1
Blättchen	1821	NA	1
Blättchen	1860	NA	1
Hasenfüßlein	1532	md	1
monoecischen	1840	NA	1
Röhrlein	1532	md	1
Röhrlein	1735	NA	1
Röhrlein	1870	NA	1
Häublein	1609	md	1
Häublein	1675	NA	1
Margen-Frauen-Himmel-Röslein	1735	NA	1
Rosmarinstöcklein	1539	md	1
Äderlein	1675	NA	1
Äderlein	1482	obd	1
Äderlein	1662	obd	1
Blümelein	1588	obd	1
orientischen	1550	NA	1
Köpfchen	1821	NA	1
Köpfchen	1870	NA	1
Köpfchen	1914	NA	1
Farrnkrautmännchen	1874	NA	1
Maiblümchen	1828	NA	1
Ansuchen	1543	md	1
Ansuchen	1563	md	1
Teilchen	1719	NA	1
Teilchen	1722	NA	1
Deckblättchen	1793	NA	1
Deckblättchen	1874	NA	1
Groschen	1735	NA	1
Ochsenzungenblümlein	1673	NA	1
Kreuzchen	1870	NA	1
Knöpfchen	1719	NA	1
Knöpfchen	1828	NA	1
Flöcklein	1532	md	1
Flöcklein	1652	md	1
Pollenschläuchen	1840	NA	1
Säcklein	1539	md	1
Säcklein	1543	md	1
Säcklein	1735	NA	1
Säcklein	1914	NA	1
Nebenschößlein	1696	NA	1
Weinbeerlein	1673	NA	1
Pimpernüsslein	1673	NA	1
Flecklein	1532	md	1
Kuchen	1539	md	1
Kuchen	1769	NA	1
Kuchen	1870	NA	1
